top - 10:59:01 up 12:44,  1 user,  load average: 0.74, 0.54, 0.33
Tasks: 356 total,   1 running, 338 sleeping,  17 stopped,   0 zombie
%Cpu(s):  8.8 us,  4.4 sy,  0.0 ni, 80.9 id,  2.9 wa,  0.0 hi,  2.9 si,  0.0 st
MiB Mem :   7879.2 total,    229.3 free,   5648.0 used,   2001.9 buff/cache
MiB Swap:   2048.0 total,   1940.1 free,    107.9 used.   1675.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1608 karthik   20   0  692452  61964  33796 S   0.0   0.8   0:04.25 goa-dae+
   1615 karthik   20   0  314616   7140   6888 S   0.0   0.1   0:00.39 goa-ide+
   1620 karthik   20   0  163996   5924   5672 S   0.0   0.1   0:00.00 gdm-x-s+
   1626 karthik   20   0  235688   5392   5004 S   0.0   0.1   0:00.04 gvfs-mt+
   1630 karthik   20   0  316720   7992   7584 S   0.0   0.1   0:00.66 gvfs-af+
   1635 karthik   20   0  238092   5740   5436 S   0.0   0.1   0:00.04 gvfs-gp+
   1688 karthik   20   0  188380  13768  12164 S   0.0   0.2   0:00.06 gnome-s+
   1692 karthik   20   0  239888   6808   6696 S   0.0   0.1   0:00.00 gnome-k+
   1703 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 krfcommd
   1779 karthik   20   0    6032    456      0 S   0.0   0.0   0:00.07 ssh-age+
   1796 karthik   20   0  311708   7964   5720 S   0.0   0.1   0:36.21 ibus-da+
   1798 karthik   20   0  305420   6180   5992 S   0.0   0.1   0:00.01 at-spi-+
   1805 karthik   20   0    7348   3892   3644 S   0.0   0.0   0:00.43 dbus-da+
   1807 karthik   20   0  162692   7076   6444 S   0.0   0.1   0:00.00 ibus-me+
   1808 karthik   20   0  311884  37044  27268 S   0.0   0.5   0:00.53 ibus-ui+
   1812 karthik   20   0  272364  27840  16844 S   0.0   0.3   0:07.01 ibus-ex+
   1817 karthik   20   0   90040   3868   3868 S   0.0   0.0   0:00.00 gnome-s+
   1824 karthik   20   0  193100  23084  17092 S   0.0   0.3   0:00.30 ibus-x11
   1827 karthik   20   0  236364   6812   6540 S   0.0   0.1   0:00.09 ibus-po+
   1830 karthik   20   0  484360  14512  12820 S   0.0   0.2   0:00.24 gnome-s+
   1835 karthik   20   0  162884   5960   5752 S   0.0   0.1   0:03.28 at-spi2+
   1847 karthik   20   0  610036   9064   8328 S   0.0   0.1   0:00.49 xdg-des+
   1853 karthik   20   0  531148   5848   5532 S   0.0   0.1   0:00.12 xdg-doc+
   1854 karthik   20   0  162820   7384   6496 S   0.0   0.1   0:10.24 ibus-en+
   1864 karthik   20   0  235588   4368   4220 S   0.0   0.1   0:00.00 xdg-per+
   1873 karthik   20   0  490984  24004  18500 S   0.0   0.3   0:01.29 xdg-des+
   1881 karthik   20   0  156488   5592   4896 S   0.0   0.1   0:00.07 dconf-s+
   1923 karthik   20   0  507360  15200  13896 S   0.0   0.2   0:00.16 gnome-s+
   1929 karthik   20   0 1008476  26112  22176 S   0.0   0.3   0:00.57 evoluti+
   1934 karthik   20   0  162404   6248   5732 S   0.0   0.1   0:00.07 gvfsd-m+
   1942 karthik   20   0 1956276  36504  25376 S   0.0   0.5   0:01.20 evoluti+
   1948 karthik   20   0 2733680  24252  20732 S   0.0   0.3   0:00.09 gjs
   1959 karthik   20   0  309660   6256   5908 S   0.0   0.1   0:00.03 gsd-a11+
   1960 karthik   20   0  573720  24852  19312 S   0.0   0.3   0:00.45 gsd-col+
   1961 karthik   20   0  373588  15404  13464 S   0.0   0.2   0:00.04 gsd-dat+
   1962 karthik   20   0  311724   7644   6788 S   0.0   0.1   0:00.48 gsd-hou+
   1964 karthik   20   0  341204  22956  17340 S   0.0   0.3   0:00.33 gsd-key+
   1965 karthik   20   0  683496  26852  20016 S   0.0   0.3   0:00.52 gsd-med+
   1968 karthik   20   0  415452  24256  17880 S   0.0   0.3   0:00.45 gsd-pow+
   1970 karthik   20   0  248200  10308   8896 S   0.0   0.1   0:00.03 gsd-pri+
   1971 karthik   20   0  457088   6036   5400 S   0.0   0.1   0:00.06 gsd-rfk+
   1972 karthik   20   0  235500   5892   5368 S   0.0   0.1   0:00.05 gsd-scr+
   1973 karthik   20   0  464652  10044   8780 S   0.0   0.1   0:00.11 gsd-sha+
   1977 karthik   20   0  315028   8312   7496 S   0.0   0.1   0:00.03 gsd-sma+
   1978 karthik   20   0  319248   8984   7976 S   0.0   0.1   0:00.03 gsd-sou+
   1979 karthik   20   0  458696   7280   6504 S   0.0   0.1   0:00.04 gsd-usb+
   1980 karthik   20   0  340636  23340  16984 S   0.0   0.3   0:00.34 gsd-wac+
   1985 karthik   20   0  313984   7728   6844 S   0.0   0.1   0:00.02 gsd-wwan
   1989 karthik   20   0  341900  24868  18004 S   0.0   0.3   0:00.49 gsd-xse+
   2012 karthik   20   0  182764  18084  11316 S   0.0   0.2   0:00.05 python3
   2014 karthik   20   0  231792   5860   4484 S   0.0   0.1   0:00.02 gsd-dis+
   2020 karthik   20   0  776392  50496  39036 S   0.0   0.6   0:00.47 evoluti+
   2061 karthik   20   0  342152  14088  12180 S   0.0   0.2   0:00.01 gsd-pri+
   2113 karthik   20   0  313968   8060   6784 S   0.0   0.1   0:00.09 gvfsd-t+
   2146 karthik   20   0  746912  23360  19276 S   0.0   0.3   0:00.14 evoluti+
   2334 root       0 -20       0      0      0 S   0.0   0.0   0:00.01 loop30
   2424 root      20   0 1452044  29080  11524 S   0.0   0.4   0:06.09 snapd
   2868 karthik   20   0 1302528 493504  41168 S   0.0   6.1   0:09.97 gnome-s+
   2870 karthik   20   0  417264  28572  22288 S   0.0   0.4   0:00.87 update-+
   4638 karthik   20   0  387832   8316   7368 S   0.0   0.1   0:00.03 gvfsd-n+
   4653 karthik   20   0  314964   8092   7136 S   0.0   0.1   0:00.04 gvfsd-d+
   4756 karthik   20   0 1048924  48916  36852 S   0.0   0.6   0:00.53 gnome-c+
   4760 karthik   20   0  464204  37756  24268 S   0.0   0.5   0:00.37 seahorse
   9902 karthik   20   0 4216728 694684 152900 S   0.0   8.6   8:52.98 firefox
  10113 karthik   20   0 2886728 446048 111224 S   0.0   5.5   0:51.62 Web Con+
  10164 karthik   20   0 2417012 121496  90236 S   0.0   1.5   0:05.76 Privile+
  10194 karthik   20   0 2845884 359532  88668 S   0.0   4.5   0:37.66 WebExte+
  12136 karthik   20   0 3012564 325360 121840 S   0.0   4.0   2:14.07 Web Con+
  12336 karthik   20   0 2574628 215028 110448 S   0.0   2.7   0:24.54 Web Con+
  12604 karthik   20   0 2611276 261420  98520 S   0.0   3.2   0:35.81 Web Con+
  13636 karthik   20   0 2483400 158520  95312 S   0.0   2.0   0:21.17 Web Con+
  13674 karthik   20   0 2458464 156124 108956 S   0.0   1.9   0:10.92 Web Con+
  14100 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  14221 root      20   0   28556   8144   6396 S   0.0   0.1   0:00.02 cupsd
  14222 root      20   0  180424  12008  10360 S   0.0   0.1   0:00.04 cups-br+
  22443 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/33-+
  22444 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nvidia
  26795 karthik   20   0 1023200 313272 128672 S   0.0   3.9   2:06.50 chrome
  26804 karthik   20   0    8220    588    520 S   0.0   0.0   0:00.00 cat
  26805 karthik   20   0    8220    592    524 S   0.0   0.0   0:00.00 cat
  26808 karthik   20   0  270928  63056  51948 S   0.0   0.8   0:00.08 chrome
  26809 karthik   20   0  270928  62828  51704 S   0.0   0.8   0:00.09 chrome
  26814 karthik   20   0   10776   4060   3488 S   0.0   0.1   0:00.00 nacl_he+
  26817 karthik   20   0  270928  15200   4068 S   0.0   0.2   0:00.31 chrome
  26825 karthik   20   0   10776   3104   2652 S   0.0   0.0   0:00.00 nacl_he+
  26847 karthik   20   0  631888 274628  87708 S   0.0   3.4   3:34.47 chrome
  26849 karthik   20   0  348536  90908  65868 S   0.0   1.1   0:31.50 chrome
  26865 karthik   20   0  333892  26236   8960 S   0.0   0.3   0:00.00 chrome
  26915 karthik   20   0 4591916  90248  69728 S   0.0   1.1   0:00.61 chrome
  26928 karthik   20   0 4678764 168328  74412 S   0.0   2.1   0:11.35 chrome
  26929 karthik   20   0 4580640  84780  66616 S   0.0   1.1   0:17.03 chrome
  26950 karthik   20   0 4597028  91968  67640 S   0.0   1.1   0:03.04 chrome
  27122 karthik   20   0 9018408 208804 100536 S   0.0   2.6   0:24.52 chrome
  27285 karthik   20   0 4627608 105244  70340 S   0.0   1.3   0:05.29 chrome
  27300 karthik   20   0 4605424  93160  67064 S   0.0   1.2   0:00.41 chrome
  27342 karthik   20   0 4629028 124624  83552 S   0.0   1.5   0:07.24 chrome
  27355 karthik   20   0 4781016 276344  84840 S   0.0   3.4   0:22.23 chrome
  27428 karthik   20   0 4649372 145376  88576 S   0.0   1.8   0:08.42 chrome
  27440 karthik   20   0 4581980  87544  66972 S   0.0   1.1   0:00.49 chrome
  27463 karthik   20   0 4576288  68460  53416 S   0.0   0.8   0:00.09 chrome
  27478 karthik   20   0 4576288  69672  54372 S   0.0   0.9   0:00.10 chrome
  27484 karthik   20   0 4576288  68496  53480 S   0.0   0.8   0:00.09 chrome
  27490 karthik   20   0 4576288  68476  53356 S   0.0   0.8   0:00.09 chrome
  27506 karthik   20   0 4576288  68448  53484 S   0.0   0.8   0:00.08 chrome
  27517 karthik   20   0 4576288  70208  55008 S   0.0   0.9   0:00.09 chrome
