              total        used        free      shared  buff/cache   available
Mem:           7879        5184         317         234        2377        2163
Swap:          2047          59        1988
top - 09:38:50 up 11:24,  1 user,  load average: 0.32, 0.41, 0.47
Tasks: 360 total,   1 running, 343 sleeping,  16 stopped,   0 zombie
%Cpu(s): 13.0 us,  4.3 sy,  0.0 ni, 79.7 id,  0.0 wa,  0.0 hi,  2.9 si,  0.0 st
MiB Mem :   7879.2 total,    310.2 free,   5186.7 used,   2382.2 buff/cache
MiB Swap:   2048.0 total,   1988.9 free,     59.1 used.   2156.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1827 karthik   20   0  236364   6896   6624 S   0.0   0.1   0:00.08 ibus-po+
   1830 karthik   20   0  484360  14628  12936 S   0.0   0.2   0:00.21 gnome-s+
   1835 karthik   20   0  162884   6012   5804 S   0.0   0.1   0:02.93 at-spi2+
   1847 karthik   20   0  610036   9656   8916 S   0.0   0.1   0:00.38 xdg-des+
   1853 karthik   20   0  531148   6056   5740 S   0.0   0.1   0:00.11 xdg-doc+
   1854 karthik   20   0  162820   7404   6516 S   0.0   0.1   0:09.06 ibus-en+
   1864 karthik   20   0  235588   4388   4240 S   0.0   0.1   0:00.00 xdg-per+
   1873 karthik   20   0  490984  24796  19284 S   0.0   0.3   0:01.10 xdg-des+
   1881 karthik   20   0  156488   5612   4916 S   0.0   0.1   0:00.06 dconf-s+
   1923 karthik   20   0  507360  20016  16928 S   0.0   0.2   0:00.14 gnome-s+
   1929 karthik   20   0 1008476  34512  25232 S   0.0   0.4   0:00.49 evoluti+
   1934 karthik   20   0  162404   6524   5752 S   0.0   0.1   0:00.07 gvfsd-m+
   1942 karthik   20   0 1956276  43736  31792 S   0.0   0.5   0:00.89 evoluti+
   1948 karthik   20   0 2733680  26540  20940 S   0.0   0.3   0:00.09 gjs
   1959 karthik   20   0  309660   6528   5928 S   0.0   0.1   0:00.02 gsd-a11+
   1960 karthik   20   0  573720  26224  19872 S   0.0   0.3   0:00.39 gsd-col+
   1961 karthik   20   0  373588  15624  13684 S   0.0   0.2   0:00.04 gsd-dat+
   1962 karthik   20   0  311724   7668   6812 S   0.0   0.1   0:00.32 gsd-hou+
